address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,listed_in(type),listed_in(city),popularity_score,appeal_score
"374, Next To Manyata Tech Park, 1st Cross, Narayanappa Block, Nagawara, Bangalore",Roll N Roll,1,0,3.8,61,Nagawara,Kiosk,"Fast Food, Rolls",200,Delivery,Kammanahalli,0.2602389457868269,0.5264324730259138
"5th Main, 5th Cross, 5th Block, 1st Stage, HBR Layout, Bangalore",Paul's Dum Biryani,1,0,4.0,148,HBR Layout,Delivery,"Biryani, Hyderabadi",400,Delivery,Kammanahalli,0.28914663314117506,0.5998798407282879
"1st Floor, L.G.R. Complex, Chelekere Ring Road, Kalyan Nagar, Bangalore",Delicacy,1,1,4.1,448,Kalyan Nagar,Casual Dining,"Chinese, Thai, Momos",500,Delivery,Kammanahalli,0.31274377529743647,0.6733221472902701
"46, 80 Feet Road, Opposite HP Petrol Pump, HBR Layout, Bangalore",Zyara,1,0,3.9,191,HBR Layout,Casual Dining,"North Indian, Mughlai, Chinese",650,Delivery,Kammanahalli,0.2777762020115294,0.5952521469699209
"2116, CMR Road, HRBR Layout, Kalyan Nagar, Bangalore",Cream Stone,1,0,4.2,432,Kalyan Nagar,Dessert Parlor,"Desserts, Beverages",500,Delivery,Kammanahalli,0.32507665889856496,0.6911322817578689
"Philomena Hospital Road, Dada Mastan Layout, Vyalikaval HBCS Layout, Nagawara, Bangalore",Kijiji - Chal Yaha Khate Hai,1,0,3.7,306,Nagawara,Quick Bites,"North Indian, Gujarati, Street Food",400,Delivery,Kammanahalli,0.2560690849993867,0.5792908574372759
"Unit FCK/04, Fourth Floor, Thanisandra Main Road, Nagawara, Bangalore",Burger King,1,0,3.5,408,Nagawara,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Kammanahalli,0.2338985649454188,0.5521845524965548
"101, GLR Complex, Chelekere Outer Ring Road, Kalyan Nagar, Bangalore",Matru Sagar,1,0,4.1,327,Kalyan Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Kammanahalli,0.3084305623696798,0.6580648782844034
"180, 1st Floor, Above Apollo Gym, Punappa Layout, HBR Layout, Hennur Cross, Hennur, Bangalore",Thalis Of India,1,0,3.6,24,Hennur,Delivery,"South Indian, North Indian, Beverages",500,Delivery,Kammanahalli,0.2331135778241138,0.468482114481258
"3, Shankar Reddy Complex, Chelakere, Kalyan Nagar, Bangalore",Al Madina Roll House,1,0,3.6,16,Kalyan Nagar,Quick Bites,Biryani,150,Delivery,Kammanahalli,0.23282840672145222,0.45455532271275495
"Vyalikaval HBCS Layout, Near JMJ Hospital, Nagawara, Bangalore",Kitchen King,1,0,3.8,306,Nagawara,Quick Bites,"Rolls, Fast Food, Biryani",400,Delivery,Kammanahalli,0.2689723108058383,0.5981607434320249
"4M- 403, 80 Feet Road, Kammanahalli, Bangalore",KFC,1,0,3.1,616,Kammanahalli,Quick Bites,"Burger, Fast Food",450,Delivery,Kammanahalli,0.1897001103888139,0.4875862252993919
"LLP, 4/1, Janakiram Complex, Second Floor, Opposite Jal Vayu Vihar, Third Block, HRBR Layout, CMR Road, Kalyan Nagar, Bangalore",Warm Oven,1,0,3.8,24,Kalyan Nagar,"Bakery, Dessert Parlor","Bakery, Desserts",500,Delivery,Kammanahalli,0.258920029437017,0.4842838651664535
"80FT Road, 1st Stage, II Block, HBR Layout, Bangalore",New Krishna Sagar,1,0,4.0,51,HBR Layout,Casual Dining,"North Indian, Chinese, South Indian, Street Food",400,Delivery,Kammanahalli,0.2856889335214032,0.5420072179228367
"2/1, Next To Maruti Medicals, Jayamma Complex, Near Bus Stop, Nagawara, Bangalore",D-Zaprino,1,0,3.8,25,Nagawara,"Takeaway, Delivery","Fast Food, Burger, Pizza",350,Delivery,Kammanahalli,0.2589556758248497,0.4860971359014789
"50,Hennur Main Road, Hennur, Bangalore",Sanky's Burger House,1,0,4.3,332,Hennur,Quick Bites,"Burger, Fast Food",300,Delivery,Kammanahalli,0.33441524592174654,0.696906298218176
"8, St. Thomas Town, Nehru Main Road, Next to Icici Bank, Kammanahalli, Bangalore",Shawarma King Restaurant,1,0,3.4,39,Kammanahalli,Quick Bites,"Arabian, Chinese, North Indian",500,Delivery,Kammanahalli,0.20784182202870105,0.46436551486846567
"Hennur Road, 2nd Block Extension, Kalyan Nagar, Bangalore",Ovenstory Pizza,1,0,3.9,162,Kalyan Nagar,Delivery,Pizza,750,Delivery,Kammanahalli,0.27674245676438114,0.5874499161738574
"133, Lingarajapuram, Below Fly Over, Near Kammanahalli, Hennur, Bangalore",Hotel Zam Zam,1,0,3.2,30,Hennur,Quick Bites,"North Indian, Chinese",300,Delivery,Kammanahalli,0.18171455292530359,0.43999869586905827
"2nd Cross Road, BY Narayana Reddy Layout, Horamavu, Banaswadi, Bangalore",Bhavani Restaurant,1,0,3.6,73,Banaswadi,Casual Dining,"Mughlai, North Indian, Chinese",500,Delivery,Kammanahalli,0.2348602508279161,0.5071908270096731
"9th Main Road, Nishi Palace, 1st Block, Kalyan Nagar, Bangalore",Brahmins' Thatte Idli,1,0,4.1,189,Kalyan Nagar,Quick Bites,South Indian,100,Delivery,Kammanahalli,0.30351136084876723,0.629923986343073
"345, 10th Main, HRBR Layout, Dodda Banaswadi, 100 Feet Road, Banaswadi, Bangalore",De Grand Restaurant,1,0,3.8,257,Banaswadi,Quick Bites,"North Indian, Chinese",600,Delivery,Kammanahalli,0.267225637802036,0.5906042237437734
"6, 80 Feet Road, Subbayyana Palya, Kalyan Nagar, Bangalore",Chaitra Restaurant,1,0,3.7,35,Kalyan Nagar,Quick Bites,"North Indian, Chinese",700,Delivery,Kammanahalli,0.2464089138967251,0.49133914683302077
"1&2, 5M Road, B Channasandra Main Road, Kasturi Nagar, Banaswadi, Bangalore",Donne Biryani Kuteera,1,0,3.7,297,Banaswadi,Quick Bites,Biryani,200,Delivery,Kammanahalli,0.2557482675088924,0.5780689226732649
"52, 2nd Cross, Horamavu Main Road, Banaswadi, Bangalore",Adukkala Restaurant,1,0,3.2,123,Banaswadi,Casual Dining,Kerala,600,Delivery,Kammanahalli,0.18502966699374465,0.461829993568048
"7th Main, 80 Feet Road, 1st Block, HRBR Layout, Kalyan Nagar, Bangalore",Srinidhi Veg Food Court,1,0,3.9,96,Kalyan Nagar,Quick Bites,"Chinese, North Indian, South Indian",300,Delivery,Kammanahalli,0.27438979516742296,0.56198532578796
"285, 10th Main, 100 Feet Road, Ankanna Reddy Layout, Doddabanswadi, Next to Andhra Bank, Banaswadi, Bangalore",M.M.A Kabab Rolls & Biriyani Center,1,0,3.6,92,Banaswadi,Quick Bites,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400,Delivery,Kammanahalli,0.23553753219673737,0.5154670458848807
"385,Ground Floor, Near Manyata Tech Park, Nagawara, Bangalore",Kerala Mess,1,0,2.9,40,Nagawara,Mess,"Chinese, Kerala, North Indian",300,Delivery,Kammanahalli,0.1433613393842757,0.4121370109061848
"385, Ground, Near Manyata Tech Park, Nagawara, Bangalore",Jai Bhavani Dhaba,1,0,3.0,52,Nagawara,Dhaba,"North Indian, Chinese, Seafood",300,Delivery,Kammanahalli,0.1566923218447197,0.4234502339854219
"115, Next To Big Bazaar, Service Road, Vijaya Bank Colony, Banaswadi, Bangalore",Kolkata Rolls & Chowmein,1,0,3.5,35,Banaswadi,Quick Bites,Rolls,100,Delivery,Kammanahalli,0.22060246228382185,0.4716302746790626
"180 ,1st Floor, Above Apollo Gym Punappa Layout, HBR Layout, Hennur, Bangalore",Bombay Sandwich Company,1,0,3.7,41,Hennur,Delivery,"Sandwich, Beverages",400,Delivery,Kammanahalli,0.2466227922237213,0.4976614580275559
"86, Kammanahalli Main Road, Next to Jalvayu Vihar, Kammanahalli, Bangalore",Sukh Sagar,1,0,2.7,182,Kammanahalli,Casual Dining,"North Indian, South Indian, Chinese, Beverages",450,Delivery,Kammanahalli,0.12261667484361587,0.3834079595335064
"10, Opposite Hennur Bus DPO, HBR Layout, Bangalore",Mangalore Lunch Home,1,0,3.1,33,HBR Layout,Quick Bites,"Mangalorean, Seafood",300,Delivery,Kammanahalli,0.16891826628235004,0.43174018663364766
"382, Byreveshware Complex, Outer Ring Road, Next To-Manyatha Tech Park, Nagawara, Bangalore",Sri Sai 99 Variety Dosa,1,0,3.7,27,Nagawara,Quick Bites,South Indian,200,Delivery,Kammanahalli,0.2461237427940635,0.48103146030708466
"81/6, 3rd Cross, Opposite 1st Gate, Manyatha Techpark, Outer Ring Road, Nagawara, Bangalore",Kuttanad Restaurant,1,0,3.9,247,Nagawara,Quick Bites,"Kerala, North Indian",400,Delivery,Kammanahalli,0.2797723997301606,0.6072307103119226
"34/35, Ground Floor, Outer Ring Road, Opposite Manyata Tech Park, Nagawara Main Road, Nagawara, Bangalore",Biryani Palace,1,0,3.6,37,Nagawara,Casual Dining,"Biryani, North Indian, Chinese",750,Delivery,Kammanahalli,0.2335769808659389,0.4834062254718037
"49, Kammanahalli Main Road, Kammanahalli, Bangalore",Kanti Sweets,1,0,4.0,154,Kammanahalli,Quick Bites,"Mithai, Street Food",400,Delivery,Kammanahalli,0.2893605114681712,0.6019287321874982
"Opposite Elements Mall, Thanisandra Road, Nagawara, Bangalore",Matsya Loka,1,0,3.6,153,Nagawara,Quick Bites,Seafood,400,Delivery,Kammanahalli,0.23771196185453206,0.5340898779073472
"3, Income Tax Layout, Opposite HP Petrol Bunk, KG Halli Post, Nagawara Main Road, Nagawara, Bangalore",Al-Baik Tandoori Restaurant,1,0,3.6,113,Nagawara,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",450,Delivery,Kammanahalli,0.23628610634122407,0.5229215148351931
"1, Chinnappa Layout, 2nd Cross, 5th Main, Kammanahalli, Bangalore",Arabian Shawarma,1,0,3.7,30,Kammanahalli,Kiosk,Arabian,150,Delivery,Kammanahalli,0.2462306819575616,0.48520616922018966
"38, First Floor, Kammanahalli Main Road, St.Thomas Town Post, Kammanahalli, Bangalore",BOX8- Desi Meals,1,0,4.1,343,Kammanahalli,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Kammanahalli,0.309000904575003,0.6604183264017738
"First Floor, 308 AVR Base, 5th B Cross Road, 3rd Block, HRBR Layout, Kalyan Nagar, Bangalore",Purnabramha Maharashtrian Restaurant,1,1,3.6,24,Kalyan Nagar,Casual Dining,Maharashtrian,850,Delivery,Kammanahalli,0.2331135778241138,0.468482114481258
"310, AVR Base, 5th B Cross, HRBR Layout, 3rd Block, Kalyan Nagar, Bangalore",Pizza Hut,1,0,2.7,434,Kalyan Nagar,Casual Dining,"Pizza, Fast Food",750,Delivery,Kammanahalli,0.13159956457745617,0.39809260823527215
"152, Ground Floor, 81/10, Opposite Manyatha Tech Park, Nagawara, Bangalore",Kabab Palace,1,0,3.4,7,Nagawara,Quick Bites,"North Indian, Chinese, Rolls",600,Delivery,Kammanahalli,0.20670113761805467,0.42026426814642676
"Hennur Main Road, Kammanahalli, Bangalore",Behrouz Biryani,1,0,3.9,232,Kammanahalli,Delivery,Biryani,650,Delivery,Kammanahalli,0.2792377039126701,0.6043341760532233
"507, 4th Cross, 2nd Block, CMR Road, HRBR Layout, Kalyan Nagar, Bangalore",Kapoor's Punjabi Rolls,1,0,,0,Kalyan Nagar,Quick Bites,"Rolls, Fast Food",300,Delivery,Kammanahalli,,0.34420194549135175
"407, 1st Floor, 4th Main, Kammanahalli Main Road, Kammanahalli, Bangalore",Hyderabad Biryaani Palace,1,0,3.7,301,Kammanahalli,Casual Dining,"Biryani, Hyderabadi, Chinese",750,Delivery,Kammanahalli,0.2558908530602232,0.5786164950196928
"5M/406, Hennur Road, 2nd Block Extension, Kalyan Nagar, Bangalore",Sweet Truth,1,0,3.9,35,Kalyan Nagar,Delivery,"Bakery, Desserts",500,Delivery,Kammanahalli,0.27221536550962827,0.5110480189869788
"48 & 49, Nehru Road, Near Riti Jewellery, Kammanahalli, Bangalore",New Kairali Restaurant,1,0,3.7,93,Kammanahalli,Quick Bites,"Kerala, South Indian",400,Delivery,Kammanahalli,0.24847640439102167,0.5307076225498237
"LLP, 4/1, Janakiram Complex, Second Floor, Opposite Jal Vayu Vihar, Third Block, HRBR Layout, CMR Road, Kalyan Nagar, Bangalore",Indiana Burgers,1,0,3.4,38,Kalyan Nagar,"Takeaway, Delivery",Burger,300,Delivery,Kammanahalli,0.20780617564086837,0.46374358823775175
"2nd Block, Near HP Petrol Pump, HBR Layout, Bangalore",Wood Fire Pizza,1,0,,0,HBR Layout,Quick Bites,Pizza,350,Delivery,Kammanahalli,,0.34420194549135175
"420, First Floor, 4th Cross, 2nd Block HRBR Layout, Kalyan Nagar, Bangalore",Keto Kitchen,1,0,3.8,140,Kalyan Nagar,Casual Dining,"Healthy Food, Continental, North Indian",700,Delivery,Kammanahalli,0.26305501042561014,0.5638971107141445
"56/1, TC Palaya Main Road, Hoysala Nagar, Rammurthy Nagar, Bangalore",Facebake,1,0,3.7,50,Rammurthy Nagar,Dessert Parlor,"Desserts, Bakery",300,Delivery,Kammanahalli,0.24694360971421558,0.5056246371223477
"305, Nehru Road, Kammanahalli, Bangalore",Connie's Restaurant & Steakhouse,1,1,4.3,1437,Kammanahalli,Casual Dining,"Steak, Continental, Burger, American, BBQ, European, Salad",1500,Delivery,Kammanahalli,0.37380450447687963,0.7675594832049875
"104, 6th Cross, 80 Feet Road, Subbanapalaya, Kalyan Nagar, Bangalore",Chickpet Donne Biriyani Mane,1,0,3.0,16,Kalyan Nagar,Quick Bites,"Biryani, Kebab",350,Delivery,Kammanahalli,0.15540905188274254,0.4185162422026601
"30, B.R.Plaza, 4th Floor, 4th Cross, CMR Road, HRBR Layout, Kalyan Nagar, Bangalore",Brewklyn Microbrewery,1,1,4.4,2329,Kalyan Nagar,"Microbrewery, Casual Dining","American, South Indian, Thai, Pizza, Italian",1400,Delivery,Kammanahalli,0.4185043082300994,0.809762291255804
"414, 5th Main, HRBR Layout, Kalyan Nagar, Bangalore",Keventers,1,0,3.7,34,Kalyan Nagar,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400,Delivery,Kammanahalli,0.24637326750889238,0.4901837435856927
"66, Outer Ring Road, Vijaya Bank Colony, Extention Opposite Nandi Toyota, Banaswadi, Bangalore",Inchara Restaurant,1,0,3.4,182,Banaswadi,Casual Dining,"Chinese, North Indian, Hyderabadi, Biryani",500,Delivery,Kammanahalli,0.2129392554887771,0.505655995243618
"Food Court, Elements Mall, Thanisandra Main Road, Nagawara, Bangalore",WOW! Momo,1,0,3.6,90,Nagawara,Quick Bites,"Tibetan, Momos",400,Delivery,Kammanahalli,0.23546623942107198,0.514675807063017
"256/35, Service Road, Opposite Manyatha Techpark, Nagawara, Bangalore, Bengaluru",Foodies Choice,1,0,3.7,48,Nagawara,"Takeaway, Delivery","Arabian, Chinese, Fast Food, Beverages",150,Delivery,Kammanahalli,0.2468723169385502,0.5039838220476214
"409, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Sikori,1,0,4.2,376,Kalyan Nagar,Quick Bites,"Street Food, North Indian",350,Delivery,Kammanahalli,0.3230804611799338,0.6841982208272773
"Food Court, Elements Mall, Thanisandra Main Road, Nagawara, Bangalore",Wangs Kitchen,1,0,2.7,64,Nagawara,Food Court,Chinese,700,Delivery,Kammanahalli,0.11841040107935731,0.38514660150863134
"4, 5th Main, KEB Road, Opposite City Supermarket, Kullapa Circle, Kammanahalli, Bangalore",Food Box,1,0,3.6,22,Kammanahalli,Quick Bites,"Fast Food, Beverages",350,Delivery,Kammanahalli,0.2330422850484484,0.4654903269525262
"220, 10th Main Road, 1st Block, HRBR Layout, Banaswadi, Bangalore",Udupi Sri Krishna Cafe,1,0,3.7,15,Banaswadi,Quick Bites,"South Indian, North Indian",200,Delivery,Kammanahalli,0.2456959861400711,0.4580744301657895
"180, 1st Floor, Above Apollo Gym, Punappa Layout, Hennur, Bangalore",World In A Bowl,1,0,3.6,38,Hennur,Delivery,"Continental, North Indian, Desserts, Beverages",600,Delivery,Kammanahalli,0.2336126272537716,0.48432920226329657
"414, CMRC Road, 4th Cross, HRBR Layout, Kalyan Nagar, Bangalore",Olive Garden,1,0,3.7,214,Kalyan Nagar,Casual Dining,"Arabian, North Indian, Chinese, Beverages",700,Delivery,Kammanahalli,0.2527896173187783,0.5646639686891649
"1090, 10th Main Road, 100 Feet Road, Banaswadi, Bangalore",Pizza Stop,1,0,3.8,151,Banaswadi,Quick Bites,"Pizza, Italian",500,Delivery,Kammanahalli,0.26344712069176984,0.5672580312920177
"4th Floor, Elements Mall, Thanisandra Road, Nagawara, Bangalore",Cold Smith Ice Creams,1,0,4.1,24,Nagawara,Food Court,"Ice Cream, Desserts",450,Delivery,Kammanahalli,0.2976297068563718,0.5079864911942467
"32, Near to RK HospitaL, Main Road, Kammanahalli, Kammanahalli, Bangalore",Sri Sagar,1,0,3.7,27,Kammanahalli,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices",300,Delivery,Kammanahalli,0.2461237427940635,0.48103146030708466
"55, Opposite Kanthi Sweets, 5th Cross, Banaswadi Main Road, Banaswadi, Bangalore",Thanco's Natural Ice Cream,1,0,3.8,109,Banaswadi,Dessert Parlor,"Ice Cream, Desserts",450,Delivery,Kammanahalli,0.26194997240279644,0.5527064889889467
"Near Manyata Tech Park, Nagawara, Bangalore",Hotel Kakatiya,1,0,3.7,49,Nagawara,Quick Bites,"Andhra, North Indian, Chinese, Biryani",350,Delivery,Kammanahalli,0.24690796332638287,0.5048124321987837
"84, Jayalakshmi, Kammanahalli Main Road, Kammanahalli, Bangalore",Big Chicken,1,0,3.9,110,Kammanahalli,Quick Bites,Fast Food,400,Delivery,Kammanahalli,0.27488884459708074,0.5687046684597368
"5M-403, 1st Floor, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Cafe Pink Pajamas,1,1,4.1,577,Kalyan Nagar,Cafe,"Cafe, Italian",700,Delivery,Kammanahalli,0.3173421593278547,0.685195092896811
"180, 1st Floor, Above Apollo Gym, Punappa Layout, HBR Layout, Hennur Cross, Hennur, Bangalore",YumYumDilli,1,0,3.2,107,Hennur,Delivery,North Indian,500,Delivery,Kammanahalli,0.18445932478842145,0.45905258365112134
"G5, Mfar Retail Block, Manyata Tech Park, Nagawara, Bangalore",Pasta Factory,1,0,4.0,177,Nagawara,Casual Dining,"Continental, Italian, Burger, American",600,Delivery,Kammanahalli,0.29018037838832333,0.6090321060274738
"406, 5th Main, 2nd Block HRBR Layout, Kalyan Nagar, Bangalore",Firangi Bake,1,0,4.1,23,Kalyan Nagar,Delivery,"Mexican, Italian",600,Delivery,Kammanahalli,0.2975940604685391,0.5054684279000502
"374, 1st Cross, H. Narayanappa Block, Next to Manyata Tech Park, Nagawara, Bangalore",Chickpet Donne Biriyani Mane,1,0,2.7,37,Nagawara,Quick Bites,"Biryani, South Indian, Kebab",150,Delivery,Kammanahalli,0.11744794860787443,0.39205235432301755
"7, 5th Main, 2nd Block, Kalyan Nagar, Bangalore",Goli Vada Pav No. 1,1,0,3.7,91,Kalyan Nagar,Quick Bites,Street Food,200,Delivery,Kammanahalli,0.24840511161535628,0.5298252592073154
"149, 5th A Main Road, Chinnappa Layout, Kammanahalli, Bangalore",JS Food Court,1,0,3.8,128,Kammanahalli,Quick Bites,"Fast Food, Juices",400,Delivery,Kammanahalli,0.2626272537716178,0.5599024681473845
"7th B Main Road, HRBR Layout, 1st Block, Subbaiahnapalya, Banaswadi, Bangalore",Crunch Pizzas,1,0,2.6,227,Banaswadi,Quick Bites,"Italian, Pizza",600,Delivery,Kammanahalli,0.11131753648963572,0.3677037973340488
"Opposite Manyatha Tech Park, Beside Honda Service Centre, Nagawara, Bangalore",Aroma's Hyderabad House,1,0,4.2,533,Nagawara,Casual Dining,"Mughlai, Biryani, North Indian",800,Delivery,Kammanahalli,0.32867694406966763,0.7013767465656027
"Deccan Suites, 3, Hennur Main Road, Next to Teachers Academy, HBR Layout, Bangalore",Nalukettu,1,0,3.5,4,HBR Layout,Delivery,Kerala,450,Delivery,Kammanahalli,0.21949742426100816,0.4065225467075202
"180, 1st Floor, Above Apollo Gym, Punappa Layout, Hennur Cross, Hennur, Bangalore",Healthie,1,0,3.3,80,Hennur,Delivery,"Healthy Food, Beverages",600,Delivery,Kammanahalli,0.1964000981233901,0.4680107270387044
"Number 8, Park Road, Chowrappa Layout, St. Thomas Town, Kammanahalli, Bangalore",Anu Momos Chinese Kitchen,1,0,3.7,118,Kammanahalli,Quick Bites,"Chinese, Thai, Momos",450,Delivery,Kammanahalli,0.24936756408683916,0.540384251390435
"4th Floor, Food Court, Elements Mall, Thanisandra Main Road, Nagawara, Bangalore",Currylicious,0,0,3.4,58,Nagawara,Quick Bites,"South Indian, Mangalorean, Kerala",500,Delivery,Kammanahalli,0.20851910339752236,0.47399219647246504
"412, 4th Cross, CMR Road, 2nd Block HRBR Layout, Kalyan Nagar, Bangalore",Roll Over,1,0,4.1,174,Kalyan Nagar,Dessert Parlor,"Ice Cream, Beverages, Fast Food",500,Delivery,Kammanahalli,0.30297666503127674,0.6254835042839811
"413, Ground Floor, 5th Main, OMBR Layout, Kasturi Nagar, Banaswadi, Bangalore",Domino's Pizza,1,0,3.8,189,Banaswadi,Quick Bites,"Pizza, Fast Food",400,Delivery,Kammanahalli,0.2648016834294124,0.5771727615692616
"18/2, Opposite To Dr. Rajkumar Park, Chorappa Layout, St. Thomas Town Post, Kammanahalli, Bengaluru",Doctor Juice,1,0,3.9,42,Kammanahalli,Beverage Shop,"Juices, Healthy Food",300,Delivery,Kammanahalli,0.2724648902244572,0.520282548307508
"641, 5th Main Road, Bhuvanagiri Layout, Banaswadi, Bangalore",The London Shakes,1,0,3.1,25,Banaswadi,Beverage Shop,"Beverages, Fast Food, Italian",400,Delivery,Kammanahalli,0.16863309517968844,0.42935947364008425
"202, Ground Floor, 10th D Main, 1st Block, HRBR Layout, Banaswadi, Bangalore",Taste Of Nawaabs,1,0,3.5,324,Banaswadi,Casual Dining,"North Indian, Mughlai",600,Delivery,Kammanahalli,0.23090426836747205,0.5436417117323904
"No.21, 1st Cross, Naranyappa Block Outer Ring Road, Outside Manayata Tech Park, Nagawara, Bangalore",Marwari Basa,1,0,3.8,128,Nagawara,Quick Bites,"Rajasthani, North Indian",300,Delivery,Kammanahalli,0.2626272537716178,0.5599024681473845
"Shop #417, Ground Floor, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Chichaba's Taj,1,0,3.8,289,Kalyan Nagar,Casual Dining,"Biryani, North Indian, Mughlai",600,Delivery,Kammanahalli,0.26836632221268236,0.5956910311203621
"Shop 92, 2nd Cross, 5th Main, Kullappa Circle, Kammanahalli, Bangalore",Home Food,1,0,3.4,13,Kammanahalli,Quick Bites,South Indian,300,Delivery,Kammanahalli,0.20691501594505088,0.43714100782973486
"5M/406, Hennur Road, 2nd Block Extension, Kammanahalli, Bangalore",Faasos,1,0,3.8,140,Kammanahalli,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Kammanahalli,0.26305501042561014,0.5638971107141445
"15, 5th Main Road, KEB Road, Near Kullappa Circle, HRBR Layout, Kammanahalli, Bangalore",SS Bucket Biryani,0,0,4.0,161,Kammanahalli,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Kammanahalli,0.28961003618300013,0.604209530790673
"LLP, 4/1, Janakiram Complex, Second Floor, Opposite Jal Vayu Vihar, Third Block, HRBR Layout, CMR Road, Kalyan Nagar, Bangalore",Slurpy Shakes,1,0,,0,Kalyan Nagar,Beverage Shop,Beverages,300,Delivery,Kammanahalli,,0.34420194549135175
"3rd Floor, Elements Mall, Thanisandra Main Road, Nagawara, Bangalore",One For The Road,1,1,4.5,755,Nagawara,Bar,"Continental, North Indian, Finger Food",1300,Delivery,Kammanahalli,0.3753001195878818,0.7786791929133979
"Food Court, Elements Mall, Thanisandra Main Road, Nagawara, Bangalore",Ibaco,1,0,3.9,84,Nagawara,Dessert Parlor,Desserts,300,Delivery,Kammanahalli,0.27396203851343054,0.5553376943012365
"183, Kammanahalli Main Road, Kammanahalli, Bangalore",Savoury Restaurant,1,0,3.7,370,Kammanahalli,Casual Dining,"Arabian, North Indian, Chinese, Beverages",800,Delivery,Kammanahalli,0.25835045382067945,0.5870677561734572
"83,Philomans Hospital Road, Chankya Layout, Nagawara, Bangalore",Five Star Chicken,1,0,3.4,50,Nagawara,Quick Bites,"Roast Chicken, Burger",300,Delivery,Kammanahalli,0.20823393229486076,0.47035287220003635
"81/4/2, PB Road, Chanukya Layout, 3rd Cross, Nagawara, Bangalore",Biryani Hub,1,0,3.2,87,Nagawara,Quick Bites,"North Indian, South Indian, Biryani",600,Delivery,Kammanahalli,0.18374639703176746,0.45528106367606463
"57, IGN Tower Complex, Banaswadi Main Road, Banaswadi, Bangalore",Jai Mataji Farshan & Sweets,1,0,3.8,48,Banaswadi,"Sweet Shop, Quick Bites","Mithai, Street Food",150,Delivery,Kammanahalli,0.25977554274500175,0.5155244264806292
"545 / 36/1 Basement, Safir Mansion, Hennur Main Road, Kalyan Nagar Post, Hennur, Bangalore",Nadeem's Kitchen,1,0,2.9,7,Hennur,"Takeaway, Delivery","Biryani, Kebab",500,Delivery,Kammanahalli,0.1421850085857966,0.4046614110245432
"80, 1st Floor, Above Apollo Gym, Punappa Layout, Hennur Cross, Hennur, Bangalore",YumYumSouth,1,0,3.0,54,Hennur,Delivery,South Indian,600,Delivery,Kammanahalli,0.1567636146203851,0.42357929440720155
"44, 7th B Cross, Sheshappa Building, Near RTO Office, Rammurthy Nagar, Bangalore",Grub Bucket,1,0,3.3,4,Rammurthy Nagar,Delivery,"North Indian, Biryani, Fast Food",300,Delivery,Kammanahalli,0.19369097264810492,0.4027184215425657
"356, 1st Floor, Hennur Main Road, Opposite Grace Garden Apartment, Hennur, Bangalore",Avista Cafe Pizzeria,1,1,4.5,506,Hennur,Cafe,"Cafe, Italian",650,Delivery,Kammanahalli,0.36642416901753955,0.7582509920173335
"Ground Floor, Sai Gruha Building, 2nd Main Road SP Naidu Layout, Rammurthy Nagar, Bangalore",Shanti Sweets,1,0,3.8,23,Rammurthy Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food",300,Delivery,Kammanahalli,0.25888438304918426,0.48239848915555095
"1st Main Road, 3rd Block, HBR Layout, Bangalore",Upahara Mandira,1,0,3.9,24,HBR Layout,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Kammanahalli,0.27182325524346856,0.49218474050905114
"30, MS Ramaiah North City, Manyata Tech Park, Outer Ring Road, Nagawara, Bangalore",Ganesh Food Joint,1,0,,0,Nagawara,Quick Bites,"South Indian, Chinese",200,Delivery,Kammanahalli,,0.34420194549135175
"93, Opposite Elements Mall, Nagawara, Bangalore",Wok N Roll,1,0,3.9,82,Nagawara,Quick Bites,"Chinese, Momos",400,Delivery,Kammanahalli,0.2738907457377652,0.5541326077209275
"357, 3rd D Cross, OMBR Layout, Banaswadi, Bangalore",Despiwich Dragon's Kitchen,1,0,3.9,71,Banaswadi,Quick Bites,"Chinese, Fast Food",250,Delivery,Kammanahalli,0.27349863547160547,0.5468991023024401
"210, 5th A Cross Road, HRBR Layout 3rd Block, Kalyan Nagar, Bangalore",Alter Ego D'Deli,1,0,3.8,140,Kalyan Nagar,Cafe,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",650,Delivery,Kammanahalli,0.26305501042561014,0.5638971107141445
"2075, 4th Cross Road, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",The Feast Fries,1,0,,0,Kalyan Nagar,Quick Bites,Fast Food,200,Delivery,Kammanahalli,,0.34420194549135175
